studioLabel,animeLabel
Nexus,Comic Girls
NAZ (studio),Ore ga Suki nano wa Imōto dakedo Imōto ja nai
Project No.9,Momo Kyun Sword
Project No.9,Tenshi no 3P!
NAZ (studio),Angolmois: Record of Mongol Invasion
Bandai Namco Pictures,Raven of the Inner Palace
Encourage Films,Deaimon
EMT Squared,Alice or Alice
Project No.9,Bottom-tier Character Tomozaki
Encourage Films,Isekai Cheat Magician
Project No.9,And You Thought There Is Never a Girl Online?
Project No.9,Ryūō no Oshigoto!
Nexus,The Eminence in Shadow
Project No.9,Pastel Memories
Project No.9,"Saikin, Imōto no Yōsu ga Chotto Okaishiin Da Ga."
Passione,Renai Flops
Lay-duce,Heroines Run the Show
Millepensee,Cop Craft
NAZ (studio),Hamatora: The Animation
Creators in Pack,Danchigai
Nexus,Granbelm
Project No.9,Shōjotachi wa Kōya o Mezasu
Project No.9,Kenka Bancho Otome: Girl Beats Boys
EMT Squared,Kuma Miko: Girl Meets Bear
Drive,Teppen—!!!!!!!!!!!!!!!
Troyca,Re:Creators
Studio VOLN,Karakuri Circus
Project No.9,The Angel Next Door Spoils Me Rotten
Project No.9,Hige o Soru. Soshite Joshi Kōsei o Hirou.
Drive,KonoSuba: An Explosion on This Wonderful World!
EMT Squared,I'm Quitting Heroing
C2C,Tsukimichi: Moonlit Fantasy
NAZ (studio),Lucifer and the Biscuit Hammer
C2C,Hitori Bocchi no Marumaru Seikatsu
Project No.9,Didn't I Say to Make My Abilities Average in the Next Life?!
C2C,Wandering Witch: The Journey of Elaina
C2C,PuraOre! Pride of Orange
Troyca,Shinobi no Ittoki
3Hz,Dimension W
Project No.9,High School Prodigies Have It Easy Even In Another World
NAZ (studio),Id:Invaded
C2C,Reincarnated as a Sword
Millepensee,"Wake Up, Girls! New Chapter"
C2C,Shangri-La Frontier
Project No.9,Chronos Ruler
3Hz,Celestial Method
Passione,Haitai Nanafa
C2C,Oneechan ga Kita
Lay-duce,Tomo-chan is a Girl!
Project No.9,Shachiku-san wa Yōjo Yūrei ni Iyasaretai.
Project No.9,My Stepmom's Daughter Is My Ex
C2C,Harukana Receive
Studio VOLN,Back Arrow
Passione,Hinako Note
Passione,The Demon Sword Master of Excalibur Academy
Bandai Namco Pictures,Welcome to Demon School! Iruma-kun
Encourage Films,Chillin' in My 30s After Getting Fired from the Demon King's Army
3Hz,Rifle is Beautiful
3Hz,Flip Flappers
Millepensee,"I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too"
Passione,Isekai Meikyū de Harem o
Bandai Namco Pictures,Brave Beats
Passione,Mieruko-chan
Passione,Rokka no Yūsha
Shuka,The Case Files of Jeweler Richard
3Hz,Healer Girl
Passione,Interspecies Reviewers
C2C,"Shachō, Battle no Jikan Desu!"
EMT Squared,The Master of Ragnarok & Blesser of Einherjar
EMT Squared,Assassin's Pride
Lay-duce,Classroom Crisis
EMT Squared,Kuma Kuma Kuma Bear
Troyca,Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note
Lay-duce,Release the Spyce
Passione,Higurashi: When They Cry – Gou
Troyca,Bloom Into You
Lay-duce,Fanfare of Adolescence
EMT Squared,Drugstore in Another World: The Slow Life of a Cheat Pharmacist
Bandai Namco Pictures,Birdie Wing: Golf Girls' Story
Bandai Namco Pictures,Battle Spirits: Burning Soul
C2C,Handyman Saitō in Another World
Liden Films,Rurouni Kenshin
Liden Films,Sekkō Boys
Production IMS,Active Raid
Liden Films,Otherside Picnic
Liden Films,Mayonaka no Occult Kōmuin
Kokusai Eiga-sha,Little Pollon
Liden Films,Hortensia Saga
Liden Films,Hanebado!
Lerche,World Dai Star
Liden Films,Aiura
Production IMS,"Inari, Konkon, Koi Iroha"
Wit Studio,Kizuna no Allele
Liden Films,"Farewell, My Dear Cramer"
Liden Films,The Legendary Hero is Dead!
Liden Films,Magical Girl Spec-Ops Asuka
Kokusai Eiga-sha,Dotakon
Liden Films,My Master Has No Tail
C-Station,Laid-Back Camp
Kokusai Eiga-sha,Les Aventures de Pollen
Production IMS,Hai-Furi
Liden Films,After School Dice Club
Liden Films,Call of the Night
Liden Films,Kotarō wa Hitorigurashi
Liden Films,Kaginado
Liden Films,Killing Bites
Liden Films,Woodpecker Detective's Office
Liden Films,Build Divide: #00000 (Code Black)
Lerche,Given
Lerche,Hakumei and Mikochi
Kokusai Eiga-sha,Les 4 Filles du Dr. March
Wit Studio,Vinland Saga
Wit Studio,After the Rain
Lerche,Astra Lost in Space
Lerche,Mini Hama: Minimum Hamatora
Lerche,Unbreakable Machine-Doll
Lerche,Classroom of the Elite
Liden Films,Tribe Nine
Wit Studio,The Ancient Magus' Bride
Liden Films,Ryman's Club
Lerche,Radiant
Lerche,Konohana Kitan
Wit Studio,Seraph of the End
Wit Studio,Vivy -Fluorite Eye's Song-
Wit Studio,Garugaku.: Sei Girls Square Gakuin
Lerche,Undefeated Bahamut Chronicle
Lerche,Danganronpa: The Animation
Lerche,School-Live!
Lerche,Maji de Watashi ni Koi Shinasai!
Lerche,Magical Girl Raising Project
Lerche,Seven Senses of the Re'Union
Liden Films,Gods' Games We Play
Wit Studio,Hōzuki no reitetsu
Liden Films,Eternal Boys
Wit Studio,L'Attaque des Titans
Liden Films,"Bastard!! -Heavy Metal, Dark Fantasy-"
Liden Films,Insomniacs After School
Lerche,Idoly Pride
Liden Films,Reiwa no Di Gi Charat
Wit Studio,Ōsama Ranking
Lerche,Asobi Asobase
Lerche,Monster Musume
Lerche,Assassination Classroom
Lerche,Re:_Hamatora
Lerche,Rampo kitan: Game of Laplace
Wit Studio,Spy × Family
Wit Studio,Great Pretender (série d'animation)
C-Station,Opus Colors
Lerche,Scum's Wish
Production IMS,Hundred
Lerche,Gyakuten Sekai no Denchi Shōjo
Production IMS,Castle Town Dandelion
Production IMS,The Testament of Sister New Devil
Production IMS,Takunomi.
Lerche,Kino's Journey: The Beautiful World - The Animated Series
Wit Studio,The Rolling Girls
Production IMS,"Ore, Twintail ni Narimasu."
Liden Films,Tokyo Revengers
Wit Studio,Kabaneri of the Iron Fortress
Liden Films,Suppose a Kid From the Last Dungeon Boonies Moved to a Starter Town
Silver Link,Death March to the Parallel World Rhapsody
Silver Link,Bofuri
Silver Link,Mitsuboshi Colors
Silver Link,Kokoro Connect
Silver Link,Strike the Blood
Silver Link,Oniichan dakedo Ai sae Areba Kankeinai yo ne!
Silver Link,Our Last Crusade or the Rise of a New World
Silver Link,Tayutama: Kiss on my Deity
Silver Link,Magic of Stella
Silver Link,C³
Silver Link,My Next Life as a Villainess: All Routes Lead to Doom!
Silver Link,"No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!"
Silver Link,Tearmoon Empire
Feel,Spy Classroom
Silver Link,Chaos;Child
Silver Link,Kenja no Mago
Silver Link,Circlet Princess
Silver Link,Dusk Maiden of Amnesia
Silver Link,The World's Finest Assassin Gets Reincarnated in a Different World as an Aristocrat
Silver Link,Anne Happy
Silver Link,Fate/kaleid liner Prisma Illya
Silver Link,The Misfit of Demon King Academy
Silver Link,The Dungeon of Black Company
Silver Link,The Great Jahy Will Not Be Defeated!
Silver Link,Ao-chan Can't Study!
Silver Link,Chitose Get You!!
Silver Link,Ragna Crimson
Silver Link,The Greatest Demon Lord Is Reborn as a Typical Nobody
Silver Link,Non Non Biyori
Studio Deen,Bomberman Jetters
Studio Deen,Dazzle
Studio Deen,Meshimase Lodoss-tō Senki: Sorette Oishii no?
Silver Link,Deep Insanity: The Lost Child
Studio Deen,Higurashi no Naku Koro ni Kai
Studio Deen,DNA²
Studio Deen,Higurashi no Naku Koro ni
Studio Deen,Rozen Maiden
Silver Link,When Will Ayumu Make His Move?
Studio Deen,Rurouni Kenshin
Studio Deen,Hōzuki no reitetsu
Studio Deen,Rave
Studio Deen,Fruits Basket
Studio Deen,07-Ghost
Studio Deen,Seitokai no Ichizon
Studio Deen,Junjou Romantica
Studio Deen,Sekaiichi hatsukoi
Studio Deen,Juliette je t'aime
Studio Deen,Simoun
Silver Link,Level 1 Demon Lord and One Room Hero
Silver Link,The Maid I Hired Recently Is Mysterious
Studio Deen,Fate/stay night
Studio Deen,Ongaku Shōjo
Studio Deen,Amaenaide yo!!
Studio Deen,The Law of Ueki
Studio Deen,Sakura Trick
Studio Deen,Initial D
Studio Deen,La Fille des enfers
Studio Deen,Kokoro Library
Studio Deen,R.O.D the TV
Studio Deen,AM Driver
Feel,The Yakuza's Guide to Babysitting
Studio Deen,Binchō-tan
Studio Deen,Shining Tears X Wind
Studio Deen,Code-E
Studio Deen,Sankarea
Studio Deen,Amatsuki
Studio Deen,Xuan Yuan Sword Luminary
Silver Link,Baka to Test to Shōkanjū
Studio 4°C,Tweeny Witches
A-1 Pictures,Engage Kiss
A-1 Pictures,Lycoris Recoil
Ufotable,Coyote Ragtime Show
A-1 Pictures,86
A-1 Pictures,Black Butler
A-1 Pictures,Erased
A-1 Pictures,Wotakoi: Love is Hard for Otaku
A-1 Pictures,Your Lie in April
Zexcs,Rental Magica
A-1 Pictures,Hypnosis Mic: Division Rap Battle: Rhyme Anima
Zexcs,Bakuten!!
Zexcs,Our Home's Fox Deity
Zexcs,Chrome Shelled Regios
A-1 Pictures,Persona: Trinity Soul
A-1 Pictures,Night Raid 1931
Zexcs,Say I Love You
A-1 Pictures,Nanana's Buried Treasure
Feel,Otome wa Boku ni Koishiteru
A-1 Pictures,Fate/Apocrypha
Feel,Hinamatsuri
Feel,Ochikobore Fruit Tart
A-1 Pictures,Oreshura
A-1 Pictures,Ace Attorney
A-1 Pictures,Working!!
A-1 Pictures,Sekai Seifuku: le complot de Zvezda
Feel,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei
Feel,Papa no Iu Koto o Kikinasai!
Feel,Mayo Chiki!
Feel,Kanamemo
A-1 Pictures,Blend S
A-1 Pictures,Kaguya-sama: Love is War
Zexcs,Cuticle Detective Inaba
A-1 Pictures,Warlords of Sigrdrifa
Zexcs,Umi monogatari
Zexcs,Omamori Himari
A-1 Pictures,Fractale
Feel,Jinki: Extend
Feel,Jinsei
Zexcs,Magician's Academy
Feel,Futakoi alternative
Feel,This Art Club Has a Problem!
A-1 Pictures,Solo Leveling
Zexcs,Shadowverse
A-1 Pictures,Eromanga Sensei
A-1 Pictures,Nier: Automata
Ufotable,Demon Slayer: Kimetsu no Yaiba
Feel,Da Capo II
Ufotable,Katsugeki! Touken Ranbu
Zexcs,Densetsu no Yūsha no Densetsu
A-1 Pictures,Galilei Donna
Ufotable,Futakoi alternative
A-1 Pictures,Interviews with Monster Girls
Feel,Remake Our Life!
A-1 Pictures,Granblue Fantasy The Animation
Feel,In Search of the Lost Future
A-1 Pictures,Visual Prison
Tōei animation,Dragon Ball
Tōei animation,Dokidoki! PreCure
Tōei animation,Marmalade Boy
Tōei animation,Dragon Ball Z
Tōei animation,HappinessCharge PreCure!
Tōei animation,Sailor Moon
Anime International Company,Asobi ni Iku yo!
Anime International Company,Amagami SS
Tōei animation,Hana Yori Dango
Tōei animation,Beet the Vandel Buster
Madhouse,Shigurui
Tōei animation,Star Twinkle PreCure
Tōei animation,Beet the Vandel Buster: Excellion
Madhouse,Jubei-chan 2: The Counterattack of Siberia Yagyu
Tōei animation,Saint Seiya : Les Chevaliers du Zodiaque
Tōei animation,Tropical-Rouge! Precure
Tōei animation,King Arthur: Prince on White Horse
Tōei animation,HUGtto! PreCure
Tōei animation,Futari wa Pretty Cure
Tōei animation,Sandy Jonquille
Tōei animation,Dragon Ball Z Kai
Tōei animation,Great Mazinger
Tōei animation,Go! Princess PreCure
Tōei animation,Dragon Ball Super
Tōei animation,Kirakira☆PreCure a la Mode
Madhouse,Top Secret: The Revelation
Madhouse,Card Captor Sakura ( anime )
Madhouse,Princess of the Bibliophile
Tōei animation,Digimon Data Squad
Tōei animation,Slam Dunk
Tōei animation,Tanken Driland: Sennen no Mahō
Studio A.P.P.P.,Kurogane Communication
Ashi Productions,La Légende de Zorro
Tōei animation,Digimon Adventure
Tōei animation,Digimon Frontier
Tōei animation,Wakusei Robo Danguard Ace
Tōei animation,Capitaine Flam
Tōei animation,Tanken Driland
Tōei animation,Maho Girls PreCure!
Ashi Productions,Jura Tripper
Tōei animation,Shoot!
Tōei animation,takaya todoroki
Tōei animation,Digimon Tamers
Tōei animation,Pyun Pyun Maru
Ashi Productions,Josephina the Whale
Tōei animation,Kamisama Kazoku
Tōei animation,Futari wa Pretty Cure Max Heart
Ashi Productions,Floral Magician Mary Bell
Tōei animation,Healin' Good Pretty Cure
Anime International Company,Nadja
Anime International Company,SoltyRei
Tōei animation,Gekisō! Ruben Kaiser
Tōei animation,Ricky Star
Madhouse,Blade
Madhouse,Monster
Madhouse,Nana
Madhouse,Needless
Madhouse,Kamen no Maid Guy
Madhouse,X-Men
Madhouse,The Vampire Dies in No Time
Anime International Company,Burn-Up Scramble
Madhouse,A Place Further Than The Universe
Madhouse,Ace of Diamond Act II
Madhouse,Kobato
Madhouse,Alderamin on the Sky
Madhouse,Takt op.Destiny
Madhouse,DNA²
Madhouse,Rideback
Madhouse,Chaos;Head
Madhouse,Animation Kikou: Marco Polo no Bōken
Madhouse,No Game No Life
Madhouse,Hanayamata
Anime International Company,Gun X Sword
Madhouse,ACCA: 13-Territory Inspection Dept.
Madhouse,Ace of Diamond
Madhouse,Strawberry Panic!
Madhouse,Kami-sama no Inai Nichiyōbi
Madhouse,Trigun
Madhouse,Kurozuka
Madhouse,Photo Kano
Madhouse,Akagi
Madhouse,Chobits
Madhouse,Strawberry 100%
Madhouse,Sonny Boy
Anime International Company,Kotoura-san
Ashi Productions,Cybuster
Madhouse,Btooom!
Madhouse,Kemonozume
Anime International Company,Petite Princess Yucie
Anime International Company,"Love, Elections & Chocolate"
Madhouse,The Irregular at Magic High School
Madhouse,Oda Nobuna no Yabō
Madhouse,Chance Pop Session
Anime International Company,Shukufuku no Campanella
Madhouse,Magical Warfare
Madhouse,Majin Tantei Nōgami Neuro
Anime International Company,Magical Project S
Anime International Company,Bubblegum Crisis: Tokyo 2040
Anime International Company,Record of Lodoss War: Chronicles of the Heroic Knight
Anime International Company,AD Police
J. C. Staff,PaRappa the Rapper
J. C. Staff,Children of the Whales
Nippon Animation,La Petite Maison dans la prairie (série d'animation)
Nippon Animation,Anne… la maison aux pignons verts
Nippon Animation,Maya l'abeille
Nippon Animation,Tom Sawyer
Nippon Animation,Le Livre de la jungle
Nippon Animation,Chibi Maruko-chan
J. C. Staff,A Certain Magical Index
TMS Entertainment,Virtua Fighter
TMS Entertainment,Mischievous Twins: The Tales of St. Clare's
Group TAC,Miami Guns
TMS Entertainment,Burning Kabaddi
TMS Entertainment,Hachigatsu no Cinderella Nine
J. C. Staff,Urara Meirocho
Nippon Animation,Misha the Little Bear
J. C. Staff,Toradora!
TMS Entertainment,Seirei Gensōki
J. C. Staff,Les Descendants des ténèbres
TMS Entertainment,Itazura na Kiss
Group TAC,"Nadia, le secret de l'eau bleue"
J. C. Staff,Back Street Girls
TMS Entertainment,Dr. Stone
Nippon Animation,Yakunara Mug Cup mo
Nippon Animation,"Conan, le fils du futur"
Nippon Animation,Ordy ou les Grandes Découvertes
Nippon Animation,Hyakko
J. C. Staff,Excel Saga
J. C. Staff,R.O.D the TV
Satelight,Glass Fleet
TMS Entertainment,Roppo Yabure-kun
Satelight,Galaxy Angel Rune
J. C. Staff,The Demon Girl Next Door
TMS Entertainment,Megalo Box
J. C. Staff,La storia della Arcana Famiglia
Nippon Animation,Love All Play
Nippon Animation,Cathy la petite fermière
Nippon Animation,"Karine, l'aventure du Nouveau Monde"
Nippon Animation,Pollyanna
Nippon Animation,Princesse Sarah
Nippon Animation,Kon'nichiwa Anne: Before Green Gables
Nippon Animation,Blocker Gundan 4 Machine Blaster
Satelight,Guin Saga
Satelight,Caligula
J. C. Staff,Dai-Shogun – Great Revolution
Satelight,White Album 2
Nippon Animation,Dagon in the Land of Weeds
Nippon Animation,Little Lulu and Her Little Friends
Nippon Animation,Cosmic Baton Girl Princess Comet
J. C. Staff,"Utena, la fillette révolutionnaire"
TMS Entertainment,Super Dimension Century Orguss
J. C. Staff,Shigofumi
J. C. Staff,Alice SOS
TMS Entertainment,Bug tte Honey
Nippon Animation,Ao no Orchestra
Nippon Animation,Perrine monogatari
Nippon Animation,Attack on Tomorrow
Nippon Animation,Ai no Gakko Cuore Monogatari
Satelight,Engage Planet Kiss Dum
TMS Entertainment,Detective Conan: The Culprit Hanzawa
Nippon Animation,Jackie dans la savane
Nippon Animation,"Pinocchio (série télévisée d'animation, 1976)"
Nippon Animation,Wakakusa no Charlotte
Nippon Animation,Pygmalio
Nippon Animation,Mirai Shounen Conan II: Taiga Adventure
TMS Entertainment,Edgar de la Cambriole (anime)
TMS Entertainment,Lupin the 3rd Part III
TMS Entertainment,Lady Georgie
TMS Entertainment,Lupin III : Une femme nommée Fujiko Mine
TMS Entertainment,Kaze no Shōjo Emily
TMS Entertainment,Telepathy Shōjo Ran
TMS Entertainment,"Edgar, le détective cambrioleur"
Nippon Animation,Le Petit Lord
Nippon Animation,Porphy no Nagai Tabi
Nippon Animation,Uchuusen Sagittarius
Satelight,Basquash!
Nippon Animation,Fūsen no Doratarō
Nippon Animation,Grander Musashi Revolution
Satelight,Aquarion Evol
Satelight,Aquarion Logos
TMS Entertainment,Sherlock Holmes
J. C. Staff,Little Busters!
J. C. Staff,Shakugan no Shana
TMS Entertainment,Zenryoku Rabbits
TMS Entertainment,Trickster
TMS Entertainment,Sweetness and Lightning
TMS Entertainment,Attack No. 1
TMS Entertainment,Rent-A-Girlfriend
J. C. Staff,Shingetsutan Tsukihime
TMS Entertainment,Hero Bank
J. C. Staff,Metal Fighter Miku
Group TAC,Those Who Hunt Elves
Group TAC,Ballad of a Shinigami
Group TAC,Gakuen Alice
J. C. Staff,Prison School
J. C. Staff,"The ""Hentai"" Prince and the Stony Cat"
TMS Entertainment,Fruits Basket
TMS Entertainment,Sonic X
J. C. Staff,Daphne in the Brilliant Blue
P.A. Works,Iroduku : Le Monde en couleur
Diomedéa,Isekai Yakkyoku
Artland,Kenkō Zenrakei Suieibu Umishō
Artland,Mushishi
TNK,Wandaba Style
TNK,Kannazuki no Miko
Triangle staff corp.,Serial Experiments Lain
TNK,Magical Meow Meow Taruto
Triangle staff corp.,Shinkai Densetsu Meremanoid
Doga Kobo,Himouto! Umaru-chan
Ajiadō,Kujibiki Unbalance
Ajiadō,Absolute Boy
TNK,Kaifuku Jutsushi no Yarinaoshi
Ajiadō,Kakushigoto
Doga Kobo,Uchi no Maid ga Uzasugiru!
P.A. Works,Sirius the Jaeger
Diomedéa,Action Heroine Cheer Fruits
P.A. Works,Skip and Loafer
