studioLabel,animeLabel
Eiken,Suteki! Sakura Mama
Shaft,He Is My Master
Tatsunoko Production,The Legend of Heroes: Trails of Cold Steel – Northern War
Tatsunoko Production,Ping Pong the Animation
Shaft,Pani Poni Dash!
Shaft,Dotto! Koni-chan
P.A. Works,Charlotte
Shaft,Gourmet Girl Graffiti
Shaft,Tsukuyomi: Moon Phase
Shaft,"Sayonara, Zetsubou-Sensei"
P.A. Works,Nagi no Asukara
Shaft,Magia Record
Tōei animation,Phantom Thief Jeanne
White fox,Goblin Slayer
Bones,Godzilla Singular Point
Studio Gainax,Hôkago no Pleiades
Tōei animation,Dragon Quest: The Adventure of Dai
Bones,Carole & Tuesday
Bandai Namco Filmworks,La Tulipe noire
Bandai Namco Filmworks,Brigadoon: Marin & Melan
Bandai Namco Filmworks,"Zone of the Enders: Dolores, i"
Bandai Namco Filmworks,Betterman
Bandai Namco Filmworks,Giant Gorg
Tōei animation,Cyborg 009
Bandai Namco Filmworks,Fang of the Sun Dougram
Bandai Namco Filmworks,Gear Fighter Dendoh
Kyoto Animation,Clannad
Kyoto Animation,Lucky Star
Kyoto Animation,Air
Kyoto Animation,Kanon
Tōei animation,Aishite Knight
Bones,Angelic Layer: Mobile Angel
Bandai Namco Filmworks,Outlaw Star
Bandai Namco Filmworks,The Ultraman
Bandai Namco Filmworks,Tales of the Abyss
Bandai Namco Filmworks,DT Eightron
Kyoto Animation,Munto
Tōei animation,Ghost Sweeper Mikami
Bandai Namco Filmworks,Brave Command Dagwon
Bandai Namco Filmworks,Gasaraki
Bandai Namco Filmworks,Sora wo kakeru shōjo
Production I.G,Erin
Kyoto Animation,Clannad After Story
Bandai Namco Filmworks,Witch Hunter Robin
Bandai Namco Filmworks,Aura Battler Dunbine
Bandai Namco Filmworks,The Brave Express Might Gaine
Production I.G,Ghost in the Shell: SAC 2045
Production I.G,Fena: Pirate Princess
Kyoto Animation,Fullmetal panic? fumoffu
Production I.G,Moribito: Guardian of the Spirit
Tōei animation,Digimon Ghost Game
Bandai Namco Filmworks,Crush Gear Turbo
Bandai Namco Filmworks,Seraphim Call
Bandai Namco Filmworks,Combat Mecha Xabungle
Production I.G,Ace of Diamond
Kyoto Animation,Tamako Market
Production I.G,Guilty Crown
Production I.G,Blue Seed
Kyoto Animation,Beyond the Boundary
Production I.G,PaRappa the Rapper
Bandai Namco Filmworks,Mighty Cat Masked Niyandar
Bandai Namco Filmworks,Trider G7
Production I.G,PIKAIA!
Production I.G,Aoashi
Production I.G,Moriarty the Patriot
Bones,Darker than Black: Ryūsei no Gemini
Bones,Soul Eater Not!
Bee Train,Noir
Bee Train,Avenger
Bandai Namco Filmworks,Brave Police J-Decker
Bandai Namco Filmworks,Metal Armor Dragonar
Bandai Namco Filmworks,Panzer World Galient
Bandai Namco Filmworks,Love Live! School Idol Project
Bandai Namco Filmworks,Brave Exkaiser
Bones,Mob Psycho 100
Production I.G,Ao Haru Ride
Production I.G,Shining Hearts: Shiawase no Pan
Bones,Bungo Stray Dogs
Tōei animation,Delicious Party Precure
Bones,SK∞ the Infinity
Bones,The Case Study of Vanitas
Bones,Scrapped Princess
Studio Gainax,Medaka Box
Bones,Concrete Revolutio
Bones,Pilote Dragon : Hisone et Masotan
Production I.G,Le Chevalier d'Éon
Production I.G,Suisei no gargantia
Bones,Concrete Revolutio: The Last Song
Bones,The Skull Man
Bones,Gosick
Bones,Soul Eater
Studio Gainax,He Is My Master
Studio Gainax,Dantalian no Shoka
Bee Train,Phantom: Requiem for the Phantom
Bones,Darker than Black
Studio Gainax,Hanamaru Kindergarten
Studio Gainax,Panty and Stocking with Garterbelt
Bee Train,Madlax
White fox,Tears to Tiara
Production I.G,Blood+
Production I.G,Bunny Drop
Production I.G,Eden of the East
Studio Gainax,Petite Princess Yucie
Studio Gainax,Kare Kano
White fox,Katanagatari
Bones,Jyu oh sei
Production I.G,Housing Complex C
White fox,Arifureta: From Commonplace to World's Strongest
Bones,Ouran High School Host Club
Bones,Captain Earth
Shirogumi,Sushi Sumo
Orange,L'Ère des Cristaux
Seven,Ai-Mai-Mi
Hoods Entertainment,Gekidol
Studio Gokumi,Ms. Koizumi Loves Ramen Noodles
Bridge (studio),Nobunagun
Actas,Long Riders!
Studio Gokumi,Saki: The Nationals
MAPPA,Kakegurui
MAPPA,Granblue Fantasy The Animation Season 2
TYO Animations,Miracle Train: Ōedo-sen e Yōkoso
Studio Gokumi,Maesetsu!
Sanzigen,Sakura Wars the Animation
Sanzigen,D4DJ First Mix
Studio Gokumi,World's End Harem
Studio Gokumi,A Channel
Studio Gokumi,The Severing Crime Edge
Studio Gokumi,"Kono Naka ni Hitori, Imōto ga Iru!"
MAPPA,Yuri on Ice
MAPPA,Zombie Land Saga
Trans Arts,Erin
MAPPA,Chainsaw Man
Kinema Citrus,Code: Breaker
8-Bit,How to Keep a Mummy
Trigger,Kill la Kill
TYO Animations,Akkun to Kanojo
Trigger,Uchū Patrol Luluco
Trigger,Darling in the Franxx
Kinema Citrus,Black Bullet
8-Bit,Walkure Romanze: Shōjo Kishi Monogatari
Trigger,SSSS.Dynazenon
Studio Gokumi,Oda Nobuna no Yabō
TYO Animations,CUE!
Hoods Entertainment,Manyū Hiken-chō
TYO Animations,Muv-Luv Alternative
8-Bit,Aquarion Evol
Hoods Entertainment,BlazBlue Alter Memory
Kinema Citrus,The Rising of the Shield Hero
Studio Gokumi,Lance N' Masques
Bridge (studio),Yu-Gi-Oh! Sevens
8-Bit,The Irregular at Magic High School: Visitor Arc
Kinema Citrus,Made in Abyss
Shirogumi,Night Head 2041
Studio Gokumi,Ms. Vampire Who Lives in My Neighborhood
Bridge (studio),Yu-Gi-Oh! Go Rush!!
Studio Gokumi,Kin-iro Mosaic
Asread,Ga-Rei: Zero
Asread,Shuffle!
Studio Matrix,Green Green
Asread,Megami-ryō no Ryōbo-kun
Studio Gokumi,Phantom of the Idol
Knack Productions,Psycho Armor Govarian
Asread,Arifureta: From Commonplace to World's Strongest
Kinema Citrus,Revue Starlight
Seven,Nobunaga Sensei no Osanazuma
Studio Gokumi,Yumemiru Danshi wa Genjitsushugisha
Orange,Dimension W
TYO Animations,Tamayura: Hitotose
TYO Animations,Tamayura: More Aggressive
TYO Animations,Tokyo Mew Mew New
Kinema Citrus,Kuma Miko: Girl Meets Bear
Actas,Tactical Roar
MAPPA,Days
Actas,Regalia: The Three Sacred Stars
MAPPA,Jujutsu Kaisen
MAPPA,Dororo
Seven,Ai-Mai-Mi: Mousou Catastrophe
Actas,Girls und Panzer
MAPPA,L'Attaque des Titans
MAPPA,Listeners
Orange,Majestic Prince
Trigger,Kiznaiver
Orange,Active Raid
Seven,Recorder and Randsell
MAPPA,Inuyashiki
Trigger,SSSS.Gridman
Kinema Citrus,Made in Abyss: The Golden City of the Scorching Sun
8-Bit,Shōnen Maid
MAPPA,Taiso Samurai
Trigger,BNA: Brand New Animal
8-Bit,Comet Lucifer
8-Bit,Knight's & Magic
Chaos Project,Shrine of the Morning Mist
Shirogumi,Revisions
Trigger,Little Witch Academia
Seven,Joshi Kausei
Orange,Beastars
Seven,Ai-Mai-Mi: Surgical Friends
MAPPA,To the Abandoned Sacred Beasts
8-Bit,Busou Shinki
8-Bit,Encouragement of Climb
MAPPA,Heion Sedai no Idaten-tachi
MAPPA,RE-MAIN
Trigger,When Supernatural Battles Became Commonplace
8-Bit,Stars Align
Bridge (studio),Shaman King
8-Bit,Tokyo Ravens
Hoods Entertainment,Kanojo ga Flag o Oraretara
8-Bit,Rewrite
Bridge (studio),Talentless Nana
Sanzigen,Heavy Object
MAPPA,Season 1
Studio Mother,"More Than a Married Couple, But Not Lovers"
Tezuka Productions,Unico
Diomedéa,Nogizaka Haruka no Himitsu: Purezza
Shaft,Hidamari Sketch × Honeycomb
SynergySP,"Mermaid Melody Pichi Pichi Pitch, season 1"
Madhouse,Galaxy Angel
Studio Hibari,"Happy Lesson, season 1"
Tezuka Productions,"The Quintessential Quintuplets, season 1"
MAPPA,Kakegurui Twin
Actas,"Mermaid Melody Pichi Pichi Pitch, season 1"
MAPPA,Takt op.Destiny
Studio Flad,4-Nin wa Sorezore Uso o Tsuku
Kinema Citrus,"The Rising of the Shield Hero, season 1"
Kinema Citrus,"The Rising of the Shield Hero, season 2"
Felix Film,"Saving 80,000 Gold in Another World for My Retirement"
Trans Arts,Kappamaki
8-Bit,Shy
8-Bit,Absolute Duo
Actas,Eiyū Kyōshitsu
MAPPA,Banana Fish
Okuruto Noboru,Tomodachi Game
Gonzo,Rosario + Vampire: Capu2
Brain's Base,"My Teen Romantic Comedy SNAFU, season 1"
Madhouse,Galaxy Angel Z
Studio Hibari,Happy Lesson Advance
Feel,"My Teen Romantic Comedy SNAFU, season 2"
8-Bit,The Slime Diaries: That Time I Got Reincarnated as a Slime
8-Bit,Blue Lock
J. C. Staff,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, season 3"
8-Bit,Infinite Stratos
TMS Entertainment,"Megalobox, season 1"
Production IMS,Date a Live II
Studio Kai,Shine Post
8-Bit,The Fruit of Grisaia
MAPPA,Dance Dance Danseur
Seven Arcs,"Dog Days, season 1"
Seven Arcs,Dog Days'
Group TAC,Those Who Hunt Elves 2
A-1 Pictures,Ore no Imōto ga Konna ni Kawaii Wake ga Nai.
Madhouse,Galaxy Angel 3
E&G Films,Slayers Try
E&G Films,"Slayers, season 1"
P.A. Works,"Uma Musume Pretty Derby, season 1"
Studio Bind,Onimai: I'm Now Your Sister!
Studio Kai,Skeleton Knight in Another World
8-Bit,"That Time I Got Reincarnated as a Slime, season 1"
Diomedéa,"Nogizaka Haruka no Himitsu, season 1"
MAPPA,Campfire Cooking in Another World with My Absurd Skill
Feel,My Teen Romantic Comedy SNAFU Climax
Studio A-Cat,Battle in 5 Seconds After Meeting
SynergySP,Mermaid Melody Pichi Pichi Pitch Pure
3Hz,The Devil Is a Part-Timer!!
Studio A-Cat,Kenja no Deshi o Nanoru Kenja
Arms Corporation,"Hyakka Ryōran, season 1"
Arms Corporation,Hyakka Ryōran: Samurai Bride
8-Bit,"If My Favorite Pop Idol Made It to the Budokan, I Would Die"
J. C. Staff,Slayers Revolution
Sublimation Inc.,Shikizakura
Actas,Mermaid Melody Pichi Pichi Pitch Pure
Orange,Godzilla Singular Point
Silver Link,Masamune-kun's Revenge
Shin-Ei Animation,"Teasing Master Takagi-san, season 1"
Shin-Ei Animation,"Teasing Master Takagi-san, season 3"
Shin-Ei Animation,"Teasing Master Takagi-san, season 2"
J. C. Staff,Date a Live III
Q111986120,Migi to Dali
Vega Entertainment,Battle in 5 Seconds After Meeting
TMS Entertainment,Rupan Hassei
Silver Link,Non Non Biyori Nonstop
TMS Entertainment,Devichil
Studio Hibari,Yumeiro Patissiere SP Professional
Studio Hibari,"Yumeiro Patissiere, season 1"
E&G Films,Slayers Next
8-Bit,"That Time I Got Reincarnated as a Slime, season 2"
J. C. Staff,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, season 4"
Lapin Track,I'm Kodama Kawashiri
Group TAC,"Those Who Hunt Elves, season 1"
Diomedéa,"Squid Girl, season 1"
Diomedéa,"Squid Girl, season 2"
Vega Entertainment,Babel II: Beyond Infinity
Felix Film,Aharen-san wa Hakarenai
Hornets,Skeleton Knight in Another World
C-Station,"Laid-Back Camp, season 1"
Sanzigen,D4DJ All Mix
J. C. Staff,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, season 2"
Revoroot,I've Been Killing Slimes for 300 Years and Maxed Out My Level
TMS Entertainment,Megalobox 2: Nomad
ARTMIC Studios,Crimson Wolf
Orange,Trigun Stampede
David Production,Spriggan
Studio Palette,The World's Finest Assassin Gets Reincarnated in a Different World as an Aristocrat
Felix Film,Otherside Picnic
Yokohama Animation Laboratory,Magatsu Wahrheit: Zuerst
Tatsunoko Production,Kiratto Pri Chan
Satelight,Macross Delta the Movie: Passionate Walküre
MAPPA,"Jujutsu Kaisen, season 1"
TMS Entertainment,Lupin III vs Détective Conan
J. C. Staff,Slayers Evolution-R
Silver Link,"Non Non Biyori, season 1"
Silver Link,"Restaurant to Another World, season 1"
Arvo Animation,Monster Girl Doctor
Studio A-Cat,Tamayomi
Project No.9,Ro-Kyu-Bu! SS
MAPPA,"Jujutsu Kaisen, Arc Shibuya"
Drive,"KonoSuba, season 3"
C-Station,"Laid-Back Camp, season 2"
J. C. Staff,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, season 1"
Platinum Vision,Love of Kill
Studio Kai,Cagaster of an Insect Cage
Silver Link,Baka to Test to Shōkanjū: Ni!
Silver Link,My Next Life as a Villainess: All Routes Lead to Doom! X
Tomason,Kemono Friends 2
Atelier Pontdarc,Uncle From Another World
Studio Deen,Let's dance with Papa
Bandai Namco Pictures,Aikatsu on Parade!
Arvo Animation,Tsuki to Laika to Nosferatu
J. C. Staff,"The Demon Girl Next Door, season 1"
J. C. Staff,"The Demon Girl Next Door, season 2"
Encourage Films,Is the Order a Rabbit? Bloom
Platinum Vision,Dr. Ramune: Mysterious Disease Specialist
Yokohama Animation Laboratory,Lapis Re:Lights
Silver Link,Non Non Biyori Repeat
Yokohama Animation Laboratory,Miru Tights
Silver Link,"Baka to Test to Shōkanjū, season 1"
Studio Kai,Super Cub
J. C. Staff,"In Another World With My Smartphone, season 2"
Studio A-Cat,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills
Project No.9,"Ro-Kyu-Bu!, season 1"
Sunrise Beyond,Kyōkai Senki
Silver Link,"My Next Life as a Villainess: All Routes Lead to Doom!, season 1"
Studio Kai,Fuuto PI
Okuruto Noboru,The Hidden Dungeon Only I Can Enter
Shaft,Hidamari Sketch × 365
Studio Bind,Mushoku Tensei
Bibury Animation Studios,Mahō Shōjo Magical Destroyers
Silver Link,Masamune-kun's Revenge R
Shaft,Hidamari Sketch × Hoshimittsu
Kinema Citrus,Is the Order a Rabbit??
Shaft,Hidamari Sketch
Madhouse,Galaxy Angel 4
Silver Link,"Bofuri, season 1"
Silver Link,"Bofuri, season 2"
Revoroot,My Isekai Life
Actas,Mermaid Melody Pichi Pichi Pitch
Yokohama Animation Laboratory,Legend of Mana: The Teardrop Crystal
Sanzigen,D Cide Traumerei
A.C.G.T,Dai-Shogun – Great Revolution
OLM,Fantasy Bishōjo Juniku Ojisan to
Bandai Namco Filmworks,Q114681531
Bandai Namco Filmworks,The Big O
Bandai Namco Filmworks,Wild Knights Gulkeeva
OLM,Dark Gathering
Bandai Namco Filmworks,Dirty Pair
Bandai Namco Filmworks,"Wave, Listen to Me!"
Bandai Namco Filmworks,Yashahime: Princess Half-Demon
OLM,Tomica Bond Combination Earth Granner
Bandai Namco Filmworks,Gundam Build Fighters Try
Bandai Namco Filmworks,Gundam Build Divers
Bandai Namco Filmworks,Horizon in the Middle of Nowhere
Bandai Namco Filmworks,Accel World
Bandai Namco Filmworks,Cyborg 009
Bandai Namco Filmworks,Reideen the Superior
OLM,The Most Heretical Last Boss Queen
Bandai Namco Filmworks,Gundam Build Fighters
Kyoto Animation,Sound! Euphonium
OLM,Gudetama: An Eggcellent Adventure
Kyoto Animation,"Love, Chunibyo & Other Delusions"
Kyoto Animation,K-On!
Kyoto Animation,La Mélancolie de Haruhi Suzumiya
Bandai Namco Filmworks,Mobile Suit Gundam-san
Bandai Namco Filmworks,Kagaku Bōkentai Tansar 5
Kyoto Animation,Myriad Colors Phantom World
Bandai Namco Filmworks,Cross Ange
Kyoto Animation,Miss Kobayashi's Dragon Maid
Bandai Namco Filmworks,Love Live! Sunshine!!
Kyoto Animation,Hyouka
Bandai Namco Filmworks,Love Live! Nijigasaki High School Idol Club
Kyoto Animation,Violet Evergarden
Bandai Namco Filmworks,Scarlet Nexus
Bandai Namco Filmworks,King's Raid: Successors of the Will
Bandai Namco Filmworks,Good Luck Girl!
Kyoto Animation,Nichijou
Kyoto Animation,Amagi Brilliant Park
A.C.G.T,Orient
OLM,Pokémon
Bandai Namco Filmworks,Love Live! Superstar!!
Bandai Namco Filmworks,Gundam Reconguista in G
Kyoto Animation,Free!
OLM,Berserk
A.C.G.T,Kino's Journey
OLM,Garugaku.: Sei Girls Square Gakuin
OLM,Megaton Musashi
Bandai Namco Filmworks,Mobile Suit Gundam Unicorn RE:0096
OLM,Kamisama Minarai: Himitsu no Cocotama
Bandai Namco Filmworks,Mobile Suit Gundam: The Origin – Advent of the Red Comet
OLM,Kasumin
OLM,Komi Can't Communicate
Bandai Namco Filmworks,Mobile Suit Gundam: The Witch from Mercury
Bandai Namco Filmworks,Synduality
OLM,Odd Taxi
OLM,Love All Play
OLM,Inazuma Eleven
OLM,Wedding Peach
OLM,Utawarerumono
OLM,PIKAIA!
A.C.G.T,Lime-iro Ryūkitan X
OLM,Ray the Animation
A.C.G.T,Minami Kamakura High School Girls Cycling Club
OLM,Ninjala
OLM,King's Raid: Successors of the Will
Studio Deen,"Hell Girl, season 1"
Studio Deen,Hell Girl: Three Vessels
OLM,Inazuma Eleven: Ares no Tenbin
Pierrot,Norakuro-kun
Tōei animation,Mo~tto! Ojamajo Doremi
Tōei animation,Ojamajo Doremi
Studio Deen,"KonoSuba, season 1"
Studio Deen,"KonoSuba, season 2"
CloverWorks,"Shadows House, season 1"
Bandai Namco Filmworks,Short Peace
White fox,Is the Order a Rabbit??
Bibury Animation Studios,"The Quintessential Quintuplets, season 2"
Kyoto Animation,"Miss Kobayashi's Dragon Maid, season 1"
White fox,"The Devil Is a Part-Timer!, season 1"
Bandai Namco Filmworks,Artiswitch
Tōei animation,Ojamajo Doremi Dokka~n!
EMT Squared,"Kuma Kuma Kuma Bear, season 1"
Studio Deen,"Is This a Zombie?, season 1"
Studio Deen,Hell Girl: Two Mirrors
Tōei animation,Ojamajo Doremi ♯
Platinum Vision,"Kono Oto Tomare! Sounds of Life, season 1"
Platinum Vision,"Kono Oto Tomare! Sounds of Life, season 2"
CygamesPictures,"Princess Connect! Re:Dive, season 1"
CygamesPictures,"Princess Connect! Re:Dive, season 2"
Bones,Sword of the Stranger
OLM,Pokemon
Studio Deen,Hell Girl: The Fourth Twilight
Studio Blanc,"Ro-Kyu-Bu!, season 1"
Production I.G,Ghost in the Shell: S.A.C. 2nd GIG
Yaoyorozu,Kemurikusa
OLM,"Restaurant to Another World, season 2"
Kyoto Animation,"Love, Chunibyo and Other Delusions! -Heart Throb-"
Kyoto Animation,K-ON!!
Production I.G,L'île de Giovanni
Studio Kai,"Uma Musume Pretty Derby, season 2"
Bandai Namco Filmworks,City Hunter '91
Bandai Namco Filmworks,City Hunter 2
Bandai Namco Filmworks,City Hunter 3
Bandai Namco Filmworks,"City Hunter, season 1"
OLM,"Age 12: A Little Heart-Pounding, season 2"
Studio Deen,"Gurazeni, season 2"
Kyoto Animation,Miss Kobayashi's Dragon Maid S
Bandai Namco Filmworks,Genjitsu no Yohane: Sunshine in the Mirror
OLM,"Age 12: A Little Heart-Pounding, season 1"
Studio Deen,Is This a Zombie? of the Dead
Kyoto Animation,"Sound! Euphonium, season 1"
Kyoto Animation,"Sound! Euphonium, season 2"
Kyoto Animation,"Sound! Euphonium, season 3"
White fox,Is the Order a Rabbit?
Studio Deen,"Gurazeni, season 1"
Anime International Company,"Date A Live, season 1"
Bones,Fullmetal Alchemist : L'Étoile sacrée de Milos
Ashi Productions,"In Another World With My Smartphone, season 1"
