studioLabel,genreLabel
AXsiZ,animé et manga comique
AXsiZ,animé et manga sur les histoires de vie
AXsiZ,vampire anime and manga
AXsiZ,ecchi
AXsiZ,harem
AXsiZ,anime de science-fiction
AXsiZ,animé et manga comédie-romantique
AXsiZ,manga et animé de fantasy
Atelier Pontdarc,animé et manga comique
Atelier Pontdarc,manga et animé de fantasy
Atelier Pontdarc,isekai
Blade,manga et animé de fantasy
Blade,animé et manga comédie-romantique
Blade,animé et manga comique
Chaos Project,magical girl
Chaos Project,manga et animé de fantasy
CygamesPictures,manga et animé de fantasy
DLE,animé et manga comique
Drive,animé et manga comique
Drive,manga et animé de fantasy
Drive,manga ou anime d'aventure
Drive,isekai
E&G Films,animé et manga comique
E&G Films,manga et animé de fantasy
E&G Films,manga ou anime d'aventure
Gaina,animé et manga comique
Gaina,animé et manga sur les histoires de vie
Hornets,manga et animé de fantasy
Hornets,isekai
Knack Productions,mecha
Knack Productions,animé et manga comique
Kokusai Eiga-sha,manga et animé de genre drama
Kokusai Eiga-sha,manga et animé romantique
Kokusai Eiga-sha,manga ou anime d'aventure
Kokusai Eiga-sha,animé et manga en milieu scolaire
Kokusai Eiga-sha,adaptation d'un roman à la télévision
Kokusai Eiga-sha,animé et manga comique
Kokusai Eiga-sha,manga et animé de fantasy
"Lide, Inc.",émission de variétés
"Lide, Inc.",animé et manga comique
Nexus,cute girls doing cute things
Nexus,manga et animé de fantasy
Nexus,isekai
Radix,récit initiatique
Radix,manga et animé de genre drama
Radix,manga et animé de fantasy
Radix,animé mystère
Radix,animé surnaturel
Radix,ecchi
Radix,anime de science-fiction
Radix,animé et manga d'horreur
Radix,manga et anime d'action
Radix,animé et manga comédie-romantique
Seven,animé et manga comédie-romantique
Seven,thème voyage dans le temps
Seven,animé et manga comique
Shuka,anime et manga à mystère
Studio Blanc,isekai
Studio Blanc,animé et manga comique
Studio Blanc,animé et manga en milieu scolaire
Studio Kai,manga et animé de fantasy
Studio Kai,isekai
Studio Matrix,animé et manga comique
Studio Matrix,animé et manga sur les histoires de vie
Studio Mother,animé et manga comédie-romantique
Studio Palette,manga et animé de fantasy
Studio Palette,isekai
Sublimation Inc.,anime de science-fiction
Sublimation Inc.,manga et anime d'action
Sunrise Beyond,mecha
Tomason,post-apocalyptic anime
Trans Arts,animé et manga comique
Trans Arts,récit initiatique
Trans Arts,manga et animé de fantasy
Trans Arts,manga ou anime d'aventure
Trans Arts,anti-war fiction
Vega Entertainment,manga et anime d'action
Yaoyorozu,post-apocalyptic anime
3Hz,anime de science-fiction
8-Bit,manga et animé de fantasy
8-Bit,isekai
8-Bit,mecha
8-Bit,manga et animé romantique
8-Bit,anime de science-fiction
8-Bit,visual novel
8-Bit,eroge
8-Bit,romance adventure game
8-Bit,science-fiction douce
8-Bit,animé et manga sur les histoires de vie
8-Bit,manga et anime d'action
8-Bit,animé et manga comique
8-Bit,harem
8-Bit,animé et manga en milieu scolaire
8-Bit,spokon
A-1 Pictures,anime de science-fiction
A-1 Pictures,animé et manga en milieu scolaire
A-1 Pictures,anime et manga à mystère
A-1 Pictures,manga et anime d'action
A-1 Pictures,dark fantasy
A-1 Pictures,animé et manga comique
A-1 Pictures,manga et animé romantique
A-1 Pictures,manga ou anime d'aventure
A-1 Pictures,drame juridique
A-1 Pictures,mystère
A-1 Pictures,série télévisée policière
A-1 Pictures,suspense anime and manga
A-1 Pictures,animé mystère
A-1 Pictures,thème voyage dans le temps
A-1 Pictures,comédie
A-1 Pictures,comédie télévisuelle
A-1 Pictures,animé et manga sur les histoires de vie
A-1 Pictures,animé et manga comédie-romantique
A-1 Pictures,vie quotidienne
A-1 Pictures,gag anime
A-1 Pictures,animé romantique
A-1 Pictures,série d'animation japonaise basée sur un manga
A-1 Pictures,manga et animé de fantasy
A-1 Pictures,science-fiction militaire
A-1 Pictures,mecha
A-1 Pictures,manga et animé de genre drama
A-1 Pictures,love triangle romance
A-1 Pictures,récit initiatique
A-1 Pictures,supernatural anime and manga
A-1 Pictures,harem
A-1 Pictures,vampire anime and manga
A-1 Pictures,comédie d'amour
A-1 Pictures,work life
A.C.G.T,mecha
A.C.G.T,manga et anime d'action
A.C.G.T,anime de science-fiction
A.C.G.T,manga et animé de fantasy
A.C.G.T,manga ou anime d'aventure
A.C.G.T,harem
A.C.G.T,manga et animé de genre drama
A.C.G.T,ecchi anime and manga
A.C.G.T,supernatural anime and manga
A.C.G.T,historical anime and manga
ARTMIC Studios,mecha
ARTMIC Studios,manga ou anime d'aventure
ARTMIC Studios,post-apocalyptic anime and manga
ARTMIC Studios,science-fiction
ARTMIC Studios,film d'aventure
Actas,magical girl
Actas,manga et animé de fantasy
Actas,manga et anime d'action
Actas,cute girls doing cute things
Actas,anime de science-fiction
Actas,mecha
Ajiadō,anime de science-fiction
Ajiadō,manga et animé de fantasy
Ajiadō,anime et manga à mystère
Ajiadō,manga et animé de genre drama
Ajiadō,harem
Ajiadō,animé et manga comique
Ajiadō,isekai
Anime International Company,cyberpunk
Anime International Company,anime de science-fiction
Anime International Company,post-apocalyptic anime and manga
Anime International Company,magical girl
Anime International Company,animé et manga comique
Anime International Company,ecchi
Anime International Company,harem
Anime International Company,animé et manga en milieu scolaire
Anime International Company,animé et manga comédie-romantique
Anime International Company,visual novel
Anime International Company,eroge
Anime International Company,manga et animé de genre drama
Anime International Company,mecha
Anime International Company,manga et anime d'action
Anime International Company,manga et animé romantique
Anime International Company,manga et animé de fantasy
Anime International Company,manga ou anime d'aventure
Anime International Company,yonkoma
Anime International Company,animé thriller
Anime International Company,animé et manga sur les histoires de vie
Anime International Company,animé et manga d'horreur
Anime International Company,supernatural anime and manga
Anime International Company,séries télévisées sur le thème des LGBTI+
Anime International Company,yuri
Anime International Company,fiction militaire
Arms Corporation,harem
Arms Corporation,anime de science-fiction
Arms Corporation,animé et manga d'horreur
Arms Corporation,dark fantasy
Arms Corporation,supernatural anime and manga
Arms Corporation,ecchi
Artland,animé et manga en milieu scolaire
Artland,animé et manga comique
Artland,manga et anime d'action
Artland,manga et animé de fantasy
Artland,Détective de l'occulte
Artland,animé mystère
Artland,animé surnaturel
Artland,ecchi
Artland,harem
Arvo Animation,manga et animé de fantasy
Arvo Animation,anime de science-fiction
Arvo Animation,vampire anime and manga
Asahi Production,manga et animé de fantasy
Asahi Production,animé et manga comique
Asahi Production,animé et manga comédie-romantique
Ashi Productions,manga et anime d'action
Ashi Productions,manga ou anime d'aventure
Ashi Productions,anime de science-fiction
Ashi Productions,magical girl
Ashi Productions,manga et animé de genre drama
Ashi Productions,mecha
Ashi Productions,manga et animé de fantasy
Ashi Productions,harem
Ashi Productions,isekai
Ashi Productions,supernatural anime and manga
Asread,manga et animé de genre drama
Asread,manga et animé de fantasy
Asread,animé et manga comédie-romantique
Asread,isekai
Asread,anime de science-fiction
Asread,manga et anime d'action
Asread,supernatural anime and manga
Asread,animé thriller
Bandai Namco Filmworks,tragédie
Bandai Namco Filmworks,mecha
Bandai Namco Filmworks,anime de science-fiction
Bandai Namco Filmworks,anti-war fiction
Bandai Namco Filmworks,science-fiction militaire
Bandai Namco Filmworks,manga et animé de genre drama
Bandai Namco Filmworks,comédie drame anime et manga
Bandai Namco Filmworks,manga ou anime d'aventure
Bandai Namco Filmworks,cross-over
Bandai Namco Filmworks,animé et manga en milieu scolaire
Bandai Namco Filmworks,manga et anime d'action
Bandai Namco Filmworks,Détective de l'occulte
Bandai Namco Filmworks,animé thriller
Bandai Namco Filmworks,animé mystère
Bandai Namco Filmworks,historical anime and manga
Bandai Namco Filmworks,sport
Bandai Namco Filmworks,isekai
Bandai Namco Filmworks,space western
Bandai Namco Filmworks,science-fiction
Bandai Namco Filmworks,yuri
Bandai Namco Filmworks,animé et manga comique
Bandai Namco Filmworks,séries télévisées sur le thème des LGBTI+
Bandai Namco Filmworks,animé et manga d'horreur
Bandai Namco Filmworks,anime et manga à mystère
Bandai Namco Filmworks,science-fiction douce
Bandai Namco Filmworks,récit initiatique
Bandai Namco Filmworks,fantasy
Bandai Namco Filmworks,film d'action
Bandai Namco Filmworks,manga et animé de fantasy
Bandai Namco Filmworks,néo-noir
Bandai Namco Filmworks,cyberpunk
Bandai Namco Filmworks,ecchi
Bandai Namco Filmworks,animé de science fiction
Bandai Namco Filmworks,animé et manga sur les histoires de vie
Bandai Namco Filmworks,fiction surnaturelle
Bee Train,girls with guns
Bee Train,néo-noir
Bee Train,manga et anime d'action
Bee Train,anime et manga à mystère
Bee Train,yuri
Bee Train,anime de science-fiction
Bee Train,manga et animé de genre drama
Bee Train,animé thriller
Bibury Animation Studios,magical girl
Bones,steampunk
Bones,dark fantasy
Bones,récit initiatique
Bones,anti-war fiction
Bones,adventure anime
Bones,animé surnaturel
Bones,manga ou anime d'aventure
Bones,love triangle romance
Bones,animé et manga en milieu scolaire
Bones,manga et animé de genre drama
Bones,anime de science-fiction
Bones,mecha
Bones,manga et anime d'action
Bones,manga et animé de fantasy
Bones,supernatural anime and manga
Bones,animé mystère
Bones,anime et manga à mystère
Bones,historical anime and manga
Bones,vampire anime and manga
Bones,Sword and sorcery
Bones,comédie drame anime et manga
Bones,harem
Bones,film de fantasy
Bones,film d'action
Bones,anime
Brain's Base,récit initiatique
Brain's Base,animé et manga en milieu scolaire
Brain's Base,manga et animé de fantasy
Brain's Base,mecha
Brain's Base,animé et manga comique
Brain's Base,manga et anime d'action
Brain's Base,manga et animé de genre drama
Brain's Base,manga et animé romantique
Brain's Base,animé et manga comédie-romantique
Brain's Base,vampire anime and manga
Brain's Base,anime et manga à mystère
Brain's Base,supernatural anime and manga
Brain's Base,harem
Brain's Base,ecchi
Brain's Base,animé et manga sur les histoires de vie
Bridge (studio),animé et manga en milieu scolaire
Bridge (studio),gag anime
Bridge (studio),manga et anime d'action
Bridge (studio),manga et animé de fantasy
Bridge (studio),animé et manga comique
Bridge (studio),manga ou anime d'aventure
C2C,animé et manga comique
C2C,animé et manga sur les histoires de vie
C2C,cute girls doing cute things
C2C,manga et animé de fantasy
C2C,isekai
C2C,spokon
CloverWorks,mecha
CloverWorks,anime de science-fiction
CloverWorks,post-apocalyptic anime
CloverWorks,animé et manga sur les histoires de vie
CloverWorks,cute girls doing cute things
CloverWorks,supernatural anime and manga
CloverWorks,animé mystère
CloverWorks,anime et manga à mystère
CloverWorks,gag anime
CloverWorks,animé et manga comédie-romantique
CloverWorks,film sur le passage à l'âge adulte
CloverWorks,animé romantique
CloverWorks,school anime
CloverWorks,animé et manga comique
CloverWorks,animé et manga en milieu scolaire
Connect,harem
Connect,manga et anime d'action
Connect,vampire anime and manga
Connect,animé et manga sur les histoires de vie
Creators in Pack,animé et manga comique
David Production,science-fiction douce
David Production,animé et manga comique
David Production,anime de science-fiction
David Production,animé et manga comédie-romantique
David Production,supernatural anime and manga
Digital Frontier,mecha
Digital Frontier,anime de science-fiction
Digital Frontier,post-apocalyptic anime and manga
Diomedéa,spokon
Diomedéa,manga et animé de fantasy
Diomedéa,isekai
Diomedéa,harem
Diomedéa,animé et manga en milieu scolaire
Diomedéa,manga et anime d'action
Diomedéa,animé et manga comique
Diomedéa,animé et manga sur les histoires de vie
Doga Kobo,ecchi
Doga Kobo,jeu d'action
Doga Kobo,visual novel
Doga Kobo,eroge
Doga Kobo,manga et animé romantique
Doga Kobo,yuri game
Doga Kobo,séries télévisées sur le thème des LGBTI+
Doga Kobo,harem
Doga Kobo,animé et manga en milieu scolaire
Doga Kobo,manga et animé de genre drama
Doga Kobo,mecha
Doga Kobo,anime de science-fiction
Doga Kobo,animé et manga comique
Doga Kobo,animé et manga d'horreur
Doga Kobo,manga et anime d'action
Doga Kobo,anime et manga à mystère
Doga Kobo,yonkoma
Doga Kobo,animé et manga comédie-romantique
Doga Kobo,yuri
Doga Kobo,animé et manga sur les histoires de vie
Doga Kobo,manga et animé de fantasy
Doga Kobo,manga ou anime d'aventure
Doga Kobo,supernatural anime and manga
EMT Squared,voyage dans le temps en fiction
EMT Squared,harem
EMT Squared,isekai
EMT Squared,manga et animé de fantasy
EMT Squared,post-apocalyptic anime
EMT Squared,animé de science fiction
EMT Squared,animé et manga comique
Eiken,mecha
Ekachi Epilka,autonomous sensory meridian response
Ekachi Epilka,yuri
Ekachi Epilka,animé et manga comique
Encourage Films,isekai
Encourage Films,manga et animé de fantasy
Encourage Films,animé et manga comique
Encourage Films,animé et manga sur les histoires de vie
Feel,manga et anime d'action
Feel,anime et manga à mystère
Feel,visual novel
Feel,eroge
Feel,animé et manga en milieu scolaire
Feel,manga et animé de genre drama
Feel,manga et animé romantique
Feel,yuri
Feel,animé et manga comique
Feel,animé et manga sur les histoires de vie
Feel,séries télévisées sur le thème des LGBTI+
Feel,harem
Feel,mecha
Feel,manga et animé de fantasy
Feel,isekai
Felix Film,animé et manga d'horreur
Felix Film,animé et manga comédie-romantique
Felix Film,manga et animé de fantasy
Felix Film,isekai
Gallop,animé et manga comique
Gallop,manga et animé de fantasy
Gallop,film de cape et d'épée
Gallop,manga et animé romantique
Gallop,manga ou anime d'aventure
Gallop,adaptation d'un roman à la télévision
Gallop,anime de science-fiction
Gallop,manga et anime d'action
Gallop,spokon
Gallop,animé et manga en milieu scolaire
Geno Studio,manga ou anime d'aventure
Geno Studio,anti-war fiction
Geno Studio,historical anime and manga
GoHands,anime de science-fiction
GoHands,manga et anime d'action
GoHands,post-apocalyptic anime
Gonzo,anime de science-fiction
Gonzo,manga et anime d'action
Gonzo,animé de science fiction
Gonzo,post-apocalyptic anime and manga
Gonzo,manga et animé de fantasy
Gonzo,dark fantasy
Gonzo,vampire anime and manga
Gonzo,girls with guns
Gonzo,mecha
Gonzo,manga ou anime d'aventure
Gonzo,ecchi
Gonzo,animé et manga comique
Gonzo,harem
Gonzo,animé et manga en milieu scolaire
Gonzo,ecchi anime and manga
Gonzo,supernatural anime and manga
Gonzo,wuxia
Gonzo,post-apocalyptic anime
Gonzo,manga et animé de genre drama
Gonzo,animé et manga comédie-romantique
Gonzo,fiction militaire
Gonzo,manga et animé romantique
Gonzo,comédie drame anime et manga
Gonzo,anime et manga psychologique
Group TAC,steampunk
Group TAC,fiction historique
Group TAC,récit initiatique
Group TAC,animé de science fiction
Group TAC,animé romantique
Group TAC,adventure anime
Group TAC,animé et manga comique
Group TAC,manga et anime d'action
Group TAC,manga ou anime d'aventure
Group TAC,ecchi
Group TAC,manga et animé de fantasy
Group TAC,animé et manga en milieu scolaire
Group TAC,supernatural anime and manga
Hal Film Maker,magical girl
Hal Film Maker,animé et manga comique
Hal Film Maker,manga et animé de genre drama
Hal Film Maker,manga et animé de fantasy
Hal Film Maker,animé romantique
Hal Film Maker,manga et animé romantique
Hal Film Maker,anime de science-fiction
Hal Film Maker,animé et manga sur les histoires de vie
Hal Film Maker,manga ou anime d'aventure
Hal Film Maker,animé de science fiction
Hal Film Maker,ecchi
Hoods Entertainment,manga et anime d'action
Hoods Entertainment,harem
Hoods Entertainment,animé et manga comédie-romantique
Hoods Entertainment,séries télévisées sur le thème des LGBTI+
Imagin,ecchi
Imagin,manga et animé de fantasy
Imagin,manga et animé romantique
Imagin,animé surnaturel
J. C. Staff,harem
J. C. Staff,anime de science-fiction
J. C. Staff,animé et manga comédie-romantique
J. C. Staff,manga et anime d'action
J. C. Staff,manga et animé de fantasy
J. C. Staff,isekai
J. C. Staff,mecha
J. C. Staff,animé et manga comique
J. C. Staff,manga ou anime d'aventure
J. C. Staff,animé et manga d'horreur
J. C. Staff,animé et manga en milieu scolaire
J. C. Staff,ecchi
J. C. Staff,récit initiatique
J. C. Staff,love triangle romance
J. C. Staff,school anime
J. C. Staff,thème voyage dans le temps
J. C. Staff,animé et manga sur les histoires de vie
J. C. Staff,comédie drame anime et manga
J. C. Staff,manga et animé romantique
J. C. Staff,manga et animé de genre drama
J. C. Staff,yuri
J. C. Staff,anime et manga à mystère
J. C. Staff,séries télévisées sur le thème des LGBTI+
J. C. Staff,historical anime and manga
J. C. Staff,supernatural anime and manga
J. C. Staff,magical girl
J. C. Staff,post-apocalyptic anime and manga
Kinema Citrus,animé et manga en milieu scolaire
Kinema Citrus,manga et animé de genre drama
Kinema Citrus,manga et anime d'action
Kinema Citrus,post-apocalyptic anime and manga
Kinema Citrus,animé de science fiction
Kinema Citrus,animé et manga comique
Kinema Citrus,animé et manga sur les histoires de vie
Kinema Citrus,manga et animé de fantasy
Kinema Citrus,isekai
Kinema Citrus,récit initiatique
Kinema Citrus,dark fantasy
Kinema Citrus,anime de science-fiction
Kinema Citrus,manga ou anime d'aventure
Kinema Citrus,manga et animé romantique
Kyoto Animation,animé et manga comique
Kyoto Animation,animé et manga sur les histoires de vie
Kyoto Animation,animé et manga comédie-romantique
Kyoto Animation,visual novel
Kyoto Animation,eroge
Kyoto Animation,animé et manga en milieu scolaire
Kyoto Animation,romance adventure game
Kyoto Animation,manga et animé de fantasy
Kyoto Animation,manga ou anime d'aventure
Kyoto Animation,ecchi
Kyoto Animation,mecha
Kyoto Animation,anime de science-fiction
Kyoto Animation,manga et animé romantique
Kyoto Animation,fantasy
Kyoto Animation,récit initiatique
Kyoto Animation,cute girls doing cute things
Kyoto Animation,anime et manga à mystère
Kyoto Animation,love triangle romance
Kyoto Animation,séries télévisées sur le thème des LGBTI+
Kyoto Animation,dark fantasy
Kyoto Animation,animé thriller
Kyoto Animation,animé surnaturel
Lapin Track,animé et manga comique
Lay-duce,anime de science-fiction
Lay-duce,animé et manga sur les histoires de vie
Lay-duce,animé et manga comédie-romantique
Lerche,anime et manga à mystère
Lerche,anime de science-fiction
Lerche,animé et manga d'horreur
Lerche,animé et manga sur les histoires de vie
Lerche,manga et animé de fantasy
Lerche,anime et manga psychologique
Lerche,harem
Lerche,manga et anime d'action
Lerche,magical girl
Lerche,dark fantasy
Lerche,survival anime and manga
Lerche,manga ou anime d'aventure
Lerche,animé et manga comique
Lerche,mecha
Liden Films,spokon
Liden Films,fantasy urbaine
Liden Films,anime et manga à mystère
Liden Films,animé et manga d'horreur
Liden Films,tranche de vie
Liden Films,magical girl
Liden Films,manga et anime d'action
Liden Films,anime de science-fiction
Liden Films,animé et manga sur les histoires de vie
Liden Films,manga et animé de fantasy
Liden Films,historical anime and manga
Liden Films,manga et animé romantique
Liden Films,supernatural anime and manga
Liden Films,vampire anime and manga
Liden Films,anime
Liden Films,dark fantasy
Liden Films,manga ou anime d'aventure
MAPPA,dark fantasy
MAPPA,manga ou anime d'aventure
MAPPA,post-apocalyptic anime
MAPPA,animé thriller
MAPPA,spokon
MAPPA,séries télévisées sur le thème des LGBTI+
MAPPA,thriller psychologique
MAPPA,animé et manga comique
MAPPA,idol anime and manga
MAPPA,zombie television program
MAPPA,supernatural anime and manga
MAPPA,manga et animé de fantasy
MAPPA,isekai
MAPPA,historical anime and manga
MAPPA,anime de science-fiction
Madhouse,magical girl
Madhouse,anime de science-fiction
Madhouse,manga ou anime d'aventure
Madhouse,post-apocalyptic anime and manga
Madhouse,animé et manga comique
Madhouse,dark fantasy
Madhouse,manga et animé de fantasy
Madhouse,manga et animé de genre drama
Madhouse,comédie drame anime et manga
Madhouse,animé et manga d'horreur
